loss,grad_norm,learning_rate,epoch,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6681938648223877,38.75,6.1904761904761914e-06,0.25,,,,,
0.5921537399291992,39.25,9.981039341405725e-06,0.5,,,,,
0.5700232505798339,42.0,9.769379972609267e-06,0.75,,,,,
0.5919453620910644,32.5,9.33239386129918e-06,1.0,,,,,
0.42381997108459474,29.375,8.690726176774344e-06,1.25,,,,,
0.3954557657241821,29.125,7.874692157065822e-06,1.5,,,,,
0.4219757080078125,24.75,6.922844882133109e-06,1.75,,,,,
0.4055112361907959,38.5,5.880153854733969e-06,2.0,,,,,
0.29910404682159425,22.375,4.79588044091626e-06,2.25,,,,,
0.286771821975708,27.25,3.7212505437811813e-06,2.5,,,,,
0.28651392459869385,20.75,2.707034463770264e-06,2.75,,,,,
0.2821925401687622,23.625,1.801148283650299e-06,3.0,,,,,
0.25950164794921876,19.625,1.0463900994477715e-06,3.25,,,,,
0.26113157272338866,16.625,4.784180478614925e-07,3.5,,,,,
0.2605067253112793,28.625,1.2406565713993346e-07,3.75,,,,,
0.2555682182312012,16.875,7.411174769433871e-11,4.0,,,,,
,,,4.0,2036.9813,12.56,0.314,5.625616319739187e+16,0.3912730872631073
